kakot;Shape_Leng;Shape_Area;lat;long
Kota Kupang;0.789116908;0.012395117;-10.20484519;123.605167
Kota Langsa;0.984394218;0.017142558;4.48392942;97.98280661
Kota Lhokseumawe;0.693344961;0.011135381;5.16492013;97.11053954
Kota Lubuk Linggau;0.992262626;0.030688922;-3.26388175;102.8759704
Kota Madiun;0.438918655;0.002954043;-7.62934819;111.5273084
Kota Magelang;0.26015937;0.001502438;-7.47667816;110.2201673
Kota Makassar;1.097706735;0.013999932;-5.13497097;119.4665997
Kota Malang;0.706257039;0.009109806;-7.97830443;112.6359075
Kota Manado;1.180765473;0.013033242;1.52472648;124.8474459
Kota Mataram;0.346678986;0.004962891;-8.59015556;116.1109562
Kota Medan;1.478310074;0.022751239;3.62758445;98.66724689
Kota Metro;0.612523918;0.005988068;-5.1173439;105.3080095
Kota Mojokerto;0.252258402;0.001677457;-7.47142339;112.4374615
Kota Padang;1.881366054;0.056663734;-0.89953247;100.4379122
Kota Padang Panjang;0.271385001;0.00166449;-0.4707758;100.4042487
Kota Padang Sidempuan;0.487326593;0.012955829;1.39058214;99.28621901
Kota Pagar Alam;1.247682561;0.052374232;-4.11712768;103.2686224
Kota Palangkaraya;2.507334957;0.231571115;-2.00751613;113.767488
Kota Palembang;1.151979771;0.027764218;-2.97248065;104.7398873
Kota Palopo;0.845889865;0.023021457;-2.98151374;120.1489219
Kota Palu;1.77683053;0.029616382;-0.83765119;119.9087238
Kota Pangkal Pinang;0.544633184;0.008651266;-2.11088455;106.1125586
Kota Pare Pare;0.469101804;0.007937963;-4.02945933;119.6661903
Kota Pariaman;0.473403639;0.00519443;-0.60879418;100.1374249
Kota Pasuruan;0.3741964;0.003173489;-7.64973731;112.909916
Kota Payakumbuh;0.438296729;0.00614225;-0.22673635;100.6319739
Kota Pekalongan;0.412885395;0.003754968;-6.89319299;109.6772784
Kota Pekanbaru;1.427597382;0.05186109;0.5512779;101.4657262
Kota Pematangsiantar;0.561998776;0.005990158;2.96180189;99.05868748
Kota Pontianak;0.443177723;0.009605026;-0.02503328;109.3312192
Kota Prabumulih;1.137757486;0.035936574;-3.44787845;104.2273066
Kota Probolinggo;0.556059442;0.00448199;-7.77381215;113.2054689
Kota Sabang;0.889912977;0.010038913;5.83786756;95.30557026
Kota Salatiga;0.422218803;0.004741822;-7.33780768;110.4978757
Kota Samarinda;1.411432473;0.060623715;-0.49872068;117.1773499
Kota Sawahlunto;0.740144635;0.019323752;-0.65192897;100.7559157
Kota Semarang;1.568620039;0.030332191;-7.02381361;110.3917265
Kota Serang;0.933450704;0.021691546;-6.12337663;106.1667509
Kota Sibolga;0.220800807;0.000897799;1.7401396;98.78617073
Kota Singkawang;1.386317007;0.04427727;0.88628653;109.0297012
Kota Solok;0.459410605;0.004667501;-0.78342929;100.629792
Kota Sorong;1.164298204;0.016866979;-0.86728659;131.3182102
Kota Subulussalam;1.96595964;0.094801745;2.73345106;97.93660878
Kota Sukabumi;0.422306252;0.00395295;-6.93993983;106.9243559
Kota Sungai Penuh;0.827769355;0.029504367;-2.113999;101.3391837
Kota Surabaya;1.338019931;0.027576341;-7.2744407;112.7234529
Kota Surakarta;0.360439245;0.00382782;-7.55789481;110.8231449
Kota Tangerang;0.865853726;0.014580538;-6.18438613;106.6520128
Kota Tangerang Selatan;0.665786846;0.013462452;-6.30212844;106.707372
Kota Tanjung Balai;0.383846135;0.004841336;2.96378733;99.79454675
Kota Tanjung Pinang;1.248683921;0.012249006;0.9197318;104.4869622
Kota Tarakan;0.723045153;0.020423822;3.35940901;117.5995109
Kota Tasikmalaya;0.781388425;0.015048403;-7.36046693;108.2190996
Kota Tebing Tinggi;0.479980298;0.003208903;3.32798216;99.15537439
Kota Tegal;0.318830504;0.003202892;-6.86923622;109.1157254
Kota Ternate;1.123475005;0.01317722;0.83851589;127.1724788
Kota Tidore Kepulauan;3.42730513;0.135954524;0.47533212;127.6733896
Kota Tomohon;0.616322587;0.012158225;1.3244122;124.8145438
Kota Tual;3.110375054;0.019205726;-5.55690276;132.4818971
Kota Yogyakarta;0.350184995;0.002690629;-7.80329625;110.3743575
Kotabaru;10.88117374;0.737138635;-2.99647871;116.0736355
