site;province;city;district;village
Taman Situjuah Batua;Sumatera Barat;Lima Puluh Kota;Situjuah Limo Nagari;Situjuah Batua
Taman Situjuah Gadang;Sumatera Barat;Lima Puluh Kota;Situjuah Limo Nagari;Situjuah Gadang
Taman Situjuah Ladang Laweh;Sumatera Barat;Lima Puluh Kota;Situjuah Limo Nagari;Situjuah Ladang Laweh
Taman Situmba;Sumatera Utara;Tapanuli Selatan;Sipirok;Situmba
Taman Situmba;Sumatera Utara;Tapanuli Selatan;Tano Tombangan Angkola;Situmba
Taman Situmba Julu;Sumatera Utara;Tapanuli Selatan;Sipirok;Situmba Julu
Taman Situmbaga;Sumatera Utara;Tapanuli Selatan;Angkola Selatan;Situmbaga
Taman Situmbaga;Sumatera Utara;Padang Lawas Utara;Dolok;Situmbaga
Taman Situmbaga;Sumatera Utara;Padang Lawas Utara;Halongonan Timur;Situmbaga
Taman Situmbuk;Sumatera Barat;Tanah Datar;Salimpaung;Situmbuk
Taman Siuhom;Sumatera Utara;Tapanuli Selatan;Angkola Barat;Siuhom
Taman Siundol Dolok;Sumatera Utara;Padang Lawas;Sosopan;Siundol Dolok
Taman Siundol Jae;Sumatera Utara;Padang Lawas;Sosopan;Siundol Jae
Taman Siundol Julu;Sumatera Utara;Padang Lawas;Sosopan;Siundol Julu
Taman Siunggam Dolok;Sumatera Utara;Padang Lawas Utara;Padang Bolak Julu;Siunggam Dolok
Taman Siunggam Jae;Sumatera Utara;Padang Lawas Utara;Padang Bolak Tenggara;Siunggam Jae
Taman Siunggam Julu;Sumatera Utara;Padang Lawas Utara;Padang Bolak Tenggara;Siunggam Julu
Taman Siunggam Tonga;Sumatera Utara;Padang Lawas Utara;Padang Bolak Tenggara;Siunggam Tonga
Taman Siwalawa;Sumatera Utara;Nias Selatan;Fanayama;Siwalawa
Taman Siwalu Banua;Sumatera Utara;Nias Selatan;Somambawa;Siwalu Banua
Taman Siwalubanua I;Sumatera Utara;Kota Gunungsitoli;Gunungsitoli Idanoi;Siwalubanua I
Taman Siwalubanua I;Sumatera Utara;Kota Gunungsitoli;Gunungsitoli Idanoi;Siwalubanua I
Taman Siwalubanua Ii;Sumatera Utara;Kota Gunungsitoli;Gunungsitoli Idanoi;Siwalubanua Ii
Taman Siwawo;Sumatera Utara;Nias Utara;Tugala Oyo;Siwawo
Taman So'Ewali;Sumatera Utara;Nias;Somolo-Molo;So'Ewali
Taman Sobar;Sumatera Utara;Padang Lawas Utara;Padang Bolak Julu;Sobar
Taman Sobawagoli;Sumatera Utara;Nias Selatan;Lahusa;Sobawagoli
Taman Soewe;Sumatera Utara;Nias;Gido;Soewe
Taman Sogae'Adu;Sumatera Utara;Nias;Sogae'Adu;Sogae'Adu
Taman Sogae'Adu;Sumatera Utara;Nias;Sogae'Adu;Sogae'Adu
Taman Sohoya;Sumatera Utara;Nias;Bawolato;Sohoya
Taman Sokoi;Riau;Pelalawan;Kuala Kampar;Sokoi
Taman Sokop;Riau;Kepulauan Meranti;Rangsang Pesisir;Sokop
Taman Soledua;Sumatera Utara;Nias Selatan;Hilimegai;Soledua
Taman Soledua I;Sumatera Utara;Nias Selatan;Hilimegai;Soledua I
Taman Soledua Ii;Sumatera Utara;Nias Selatan;Hilimegai;Soledua Ii
Taman Solok Ambah;Sumatera Barat;Sijunjung;Sijunjung;Solok Ambah
Taman Solok Bio Bio;Sumatera Barat;Lima Puluh Kota;Harau;Solok Bio Bio
Taman Somambawa;Sumatera Utara;Nias Selatan;Somambawa;Somambawa
Taman Somanggal Parmonangan;Sumatera Utara;Tapanuli Selatan;Sayur Matinggi;Somanggal Parmonangan
Taman Somba Debata Purba;Sumatera Utara;Tapanuli Selatan;Saipar Dolok Hole;Somba Debata Purba
Taman Somi;Sumatera Utara;Nias;Gido;Somi
Taman Somi Botogo'O;Sumatera Utara;Nias;Gido;Somi Botogo'O
Taman Somolo Molo;Sumatera Utara;Nias;Somolo-Molo;Somolo Molo
Taman Sonde;Riau;Kepulauan Meranti;Rangsang Pesisir;Sonde
Taman Sondregeasi;Sumatera Utara;Nias Selatan;Luahagundre Maniamolo;Sondregeasi
Taman Sontang;Riau;Rokan Hulu;Bonai Darussalam;Sontang
Taman Sontang Cubadak;Sumatera Barat;Pasaman;Padang Gelugur;Sontang Cubadak
Taman Sopan Jaya;Sumatera Barat;Dharmasraya;Padang Laweh;Sopan Jaya
Taman Sopo Sorik;Sumatera Utara;Mandailing Natal;Panyabungan Utara;Sopo Sorik
Taman Sopo Sorik;Sumatera Utara;Mandailing Natal;Kotanopan;Sopo Sorik
Taman Sopo Tinjak;Sumatera Utara;Mandailing Natal;Batang Natal;Sopo Tinjak
Taman Sopobatu;Sumatera Utara;Mandailing Natal;Panyabungan;Sopobatu
Taman Sorek I;Riau;Pelalawan;Pangkalan Kuras;Sorek I
Taman Sorek Ii;Riau;Pelalawan;Pangkalan Kuras;Sorek Ii
Taman Soren;Riau;Indragiri Hilir;Gaung;Soren
Taman Sori Nauli;Sumatera Utara;Tapanuli Tengah;Pinang Sori;Sori Nauli
Taman Sorik;Sumatera Utara;Tapanuli Selatan;Batang Angkola;Sorik
Taman Sorimadingin Pp;Sumatera Utara;Tapanuli Selatan;Batang Angkola;Sorimadingin Pp
Taman Sori Manaon;Sumatera Utara;Tapanuli Selatan;Angkola Muara Tais;Sori Manaon
Taman Sorkam;Sumatera Utara;Tapanuli Tengah;Sorkam;Sorkam
Taman Sorkam Kanan;Sumatera Utara;Tapanuli Tengah;Sorkam Barat;Sorkam Kanan
Taman Sorkam Kanan;Sumatera Utara;Tapanuli Tengah;Sorkam Barat;Sorkam Kanan
Taman Sorkam Kiri;Sumatera Utara;Tapanuli Tengah;Sorkam;Sorkam Kiri
Taman Sorkam Tengah;Sumatera Utara;Tapanuli Tengah;Sorkam;Sorkam Tengah
Taman Soroma'Asi;Sumatera Utara;Nias Selatan;Onohazumba;Soroma'Asi
Taman Soroma'Asi;Sumatera Utara;Nias Selatan;Onohazumba;Soroma'Asi
Taman Sosopan;Sumatera Utara;Padang Lawas Utara;Padang Bolak;Sosopan
Taman Sosopan;Sumatera Utara;Padang Lawas;Sosopan;Sosopan
Taman Sosopan Julu;Sumatera Utara;Padang Lawas;Sosopan;Sosopan Julu
Taman Sotboyak;Sumatera Barat;Kepulauan Mentawai;Siberut Utara;Sotboyak
Taman Soto'O Hilisimaetano;Sumatera Utara;Nias Selatan;Maniamolo;Soto'O Hilisimaetano
Taman Sotol;Riau;Pelalawan;Langgam;Sotol
Taman Sri Damai;Riau;Indragiri Hilir;Pulau Burung;Sri Damai
Taman Sri Gading;Riau;Siak;Lubuk Dalam;Sri Gading
Taman Sri Gemilang;Riau;Siak;Koto Gasib;Sri Gemilang
Taman Sri Kayangan;Riau;Rokan Hilir;Tanjung Medan;Sri Kayangan
Taman Suak Lanjut;Riau;Siak;Siak;Suak Lanjut
Taman Suak Merambai;Riau;Siak;Bunga Raya;Suak Merambai
Taman Suayan;Sumatera Barat;Lima Puluh Kota;Akabiluru;Suayan
Taman Subarak;Riau;Kampar;Gunung Sahilan;Subarak
Taman Subarang Batuang;Sumatera Barat;Kota Payakumbuh;Payakumbuh Barat;Subarang Batuang
Taman Subayang Jaya;Riau;Kampar;Kampar Kiri Hulu;Subayang Jaya
Taman Subulussalam;Sumatera Utara;Padang Lawas;Ulu Barumun;Subulussalam
Taman Sugi;Sumatera Utara;Tapanuli Selatan;Marancar;Sugi
Taman Suhada;Riau;Indragiri Hilir;Enok;Suhada
Taman Suka Damai;Sumatera Utara;Mandailing Natal;Sinunukan;Suka Damai
Taman Suka Damai;Riau;Rokan Hulu;Ujung Batu;Suka Damai
Taman Suka Damai;Riau;Rokan Hulu;Tambusai Utara;Suka Damai
Taman Suka Damai;Riau;Kuantan Singingi;Singingi Hilir;Suka Damai
Taman Suka Dame;Sumatera Utara;Padang Lawas Utara;Hulu Sihapas;Suka Dame
Taman Suka Jadi;Riau;Indragiri Hulu;Kuala Cenaku;Suka Jadi
Taman Suka Jadi;Riau;Rokan Hilir;Pujud;Suka Jadi
Taman Suka Jadi Jaya;Riau;Rokan Hilir;Bagan Sinembah;Suka Jadi Jaya
Taman Suka Jaya;Riau;Indragiri Hilir;Pulau Burung;Suka Jaya
Taman Suka Maju;Sumatera Utara;Tapanuli Utara;Pahae Jae;Suka Maju
Taman Suka Maju;Sumatera Utara;Mandailing Natal;Natal;Suka Maju
Taman Suka Maju;Riau;Kampar;Tapung Hilir;Suka Maju
Taman Suka Maju;Riau;Indragiri Hulu;Batang Peranap;Suka Maju
Taman Suka Maju;Riau;Rokan Hulu;Rambah;Suka Maju
Taman Suka Maju;Riau;Rokan Hilir;Bagan Sinembah;Suka Maju
Taman Suka Maju;Riau;Rokan Hulu;Tambusai;Suka Maju
Taman Suka Maju;Riau;Kuantan Singingi;Singingi Hilir;Suka Maju
Taman Suka Maju;Sumatera Utara;Nias Selatan;Ulunoyo;Suka Maju
Taman Suka Maju;Sumatera Utara;Nias Selatan;O'O'U;Suka Maju
Taman Suka Maju;Sumatera Utara;Nias Selatan;O'O'U;Suka Maju
Taman Suka Maju Mohili;Sumatera Utara;Nias Selatan;Gomo;Suka Maju Mohili
Taman Suka Makmur;Sumatera Utara;Mandailing Natal;Muara Batang Gadis;Suka Makmur
Taman Suka Makmur;Riau;Kampar;Gunung Sahilan;Suka Makmur
Taman Suka Mulya;Riau;Kampar;Bangkinang;Suka Mulya
Taman Suka Mulya (Persiapan);Riau;Rokan Hilir;Pujud;Suka Mulya (Persiapan)
Taman Suka Ramai;Sumatera Utara;Mandailing Natal;Panyabungan Utara;Suka Ramai
Taman Sukadame;Sumatera Utara;Labuhanbatu Selatan;Silangkitang;Sukadame
Taman Sukaharjo Jaya;Riau;Indragiri Hilir;Pulau Burung;Sukaharjo Jaya
Taman Sukajadi;Riau;Indragiri Hulu;Lirik;Sukajadi
Taman Sukajadi;Riau;Bengkalis;Bukit Batu;Sukajadi
Taman Sukamaju;Riau;Bengkalis;Bantan;Sukamaju
Taman Sukaping;Riau;Kuantan Singingi;Pangean;Sukaping
Taman Sukaraja;Riau;Kuantan Singingi;Logas Tanah Darat;Sukaraja
Taman Sukaramai;Riau;Kampar;Tapung Hulu;Sukaramai
Taman Sukomananti (Persiapan);Sumatera Barat;Pasaman Barat;Pasaman;Sukomananti (Persiapan)
Taman Suligi;Riau;Rokan Hulu;Pendalian Iv Koto;Suligi
Taman Suliki;Sumatera Barat;Lima Puluh Kota;Suliki;Suliki
Taman Sulit Air;Sumatera Barat;Solok;X Koto Diatas;Sulit Air
Taman Sumani;Sumatera Barat;Solok;X Koto Singkarak;Sumani
Taman Sumanik;Sumatera Barat;Tanah Datar;Salimpaung;Sumanik
Taman Sumber Datar;Riau;Kuantan Singingi;Singingi;Sumber Datar
Taman Sumber Jaya;Riau;Bengkalis;Siak Kecil;Sumber Jaya
Taman Sumber Jaya;Riau;Indragiri Hilir;Teluk Belengkong;Sumber Jaya
Taman Sumber Jaya;Riau;Kuantan Singingi;Singingi Hilir;Sumber Jaya
Taman Sumber Makmur;Riau;Kampar;Tapung;Sumber Makmur
Taman Sumber Makmur Jaya;Riau;Indragiri Hilir;Teluk Belengkong;Sumber Makmur Jaya
Taman Sumber Sari;Riau;Kampar;Tapung Hulu;Sumber Sari
Taman Sumber Sari Jaya;Riau;Indragiri Hilir;Teluk Belengkong;Sumber Sari Jaya
Taman Sumpu;Riau;Kuantan Singingi;Hulu Kuantan;Sumpu
Taman Sumpur;Sumatera Barat;Tanah Datar;Batipuah Selatan;Sumpur
Taman Sumpur Kudus;Sumatera Barat;Sijunjung;Sumpur Kudus;Sumpur Kudus
Taman Sumpur Kudus Selatan;Sumatera Barat;Sijunjung;Sumpur Kudus;Sumpur Kudus Selatan
Taman Sumuran;Sumatera Utara;Tapanuli Selatan;Batang Toru;Sumuran
Taman Sundata;Sumatera Barat;Pasaman;Lubuk Sikaping;Sundata
Taman Sundata Selatan (Persiapan);Sumatera Barat;Pasaman;Lubuk Sikaping;Sundata Selatan (Persiapan)
Taman Sundata Utara (Persiapan);Sumatera Barat;Pasaman;Lubuk Sikaping;Sundata Utara (Persiapan)
Taman Sundutan Tigo;Sumatera Utara;Mandailing Natal;Natal;Sundutan Tigo
Taman Sungai Abang Lubuk Alung;Sumatera Barat;Padang Pariaman;Lubuk Alung;Sungai Abang Lubuk Alung
Taman Sungai Abu;Sumatera Barat;Solok;Hiliran Gumanti;Sungai Abu
Taman Sungai Agung;Riau;Kampar;Tapung;Sungai Agung
Taman Sungai Air Putih;Riau;Indragiri Hulu;Sungai Lala;Sungai Air Putih
Taman Sungai Akar;Riau;Indragiri Hulu;Batang Gangsal;Sungai Akar
Taman Sungai Anak Kamal;Riau;Kepulauan Meranti;Merbau;Sungai Anak Kamal
Taman Sungai Antuan;Sumatera Barat;Lima Puluh Kota;Mungka;Sungai Antuan
Taman Sungai Ara;Riau;Pelalawan;Pelalawan;Sungai Ara
Taman Sungai Asam;Sumatera Barat;Padang Pariaman;2 X 11 Enam Lingkung;Sungai Asam
Taman Sungai Aua;Sumatera Barat;Pasaman Barat;Sungai Aur;Sungai Aua
Taman Sungai Aur;Riau;Indragiri Hulu;Batang Peranap;Sungai Aur
Taman Sungai Balantiak;Sumatera Barat;Lima Puluh Kota;Akabiluru;Sungai Balantiak
Taman Sungai Banyak Ikan;Riau;Indragiri Hulu;Kelayang;Sungai Banyak Ikan
Taman Sungai Batang;Sumatera Barat;Agam;Tanjung Raya;Sungai Batang
Taman Sungai Batuang;Sumatera Barat;Sijunjung;Kamang Baru;Sungai Batuang
Taman Sungai Baung;Riau;Indragiri Hulu;Rengat Barat;Sungai Baung
Taman Sungai Berbari;Riau;Siak;Pusako;Sungai Berbari
Taman Sungai Beringin;Sumatera Barat;Lima Puluh Kota;Payakumbuh;Sungai Beringin
Taman Sungai Beringin;Riau;Indragiri Hulu;Rengat;Sungai Beringin
Taman Sungai Buluah;Sumatera Barat;Padang Pariaman;Batang Anai;Sungai Buluah
Taman Sungai Buluah Barat;Sumatera Barat;Padang Pariaman;Batang Anai;Sungai Buluah Barat
Taman Sungai Buluah Selatan;Sumatera Barat;Padang Pariaman;Batang Anai;Sungai Buluah Selatan
Taman Sungai Buluah Timur;Sumatera Barat;Padang Pariaman;Batang Anai;Sungai Buluah Timur
Taman Sungai Buluah Utara;Sumatera Barat;Padang Pariaman;Batang Anai;Sungai Buluah Utara
Taman Sungai Buluh;Riau;Pelalawan;Bunut;Sungai Buluh
Taman Sungai Bungo;Riau;Kampar;Kampar Kiri Hilir;Sungai Bungo
Taman Sungai Cina;Riau;Kepulauan Meranti;Rangsang Barat;Sungai Cina
Taman Sungai Dareh;Sumatera Barat;Dharmasraya;Pulau Punjung;Sungai Dareh
Taman Sungai Datar;Sumatera Utara;Padang Lawas Utara;Dolok;Sungai Datar
Taman Sungai Dawu;Riau;Indragiri Hulu;Rengat Barat;Sungai Dawu
Taman Sungai Dua Indah;Riau;Rokan Hulu;Rambah Hilir;Sungai Dua Indah
Taman Sungai Duo;Sumatera Barat;Dharmasraya;Sitiung;Sungai Duo
Taman Sungai Durian;Sumatera Utara;Padang Lawas Utara;Padang Bolak;Sungai Durian
Taman Sungai Durian;Sumatera Barat;Solok;Ix Koto Sungai Lasi;Sungai Durian
Taman Sungai Durian;Sumatera Barat;Padang Pariaman;Patamuan;Sungai Durian
Taman Sungai Durian;Sumatera Barat;Kota Payakumbuh;Lamposi Tigo Nagori;Sungai Durian
Taman Sungai Ekok;Riau;Indragiri Hulu;Rakit Kulim;Sungai Ekok
Taman Sungai Gambir Sako Tapan;Sumatera Barat;Pesisir Selatan;Ranah Ampek Hulu Tapan;Sungai Gambir Sako Tapan
Taman Sungai Gayo Lumpo;Sumatera Barat;Pesisir Selatan;Iv Jurai;Sungai Gayo Lumpo
Taman Sungai Gayung Kiri;Riau;Kepulauan Meranti;Rangsang;Sungai Gayung Kiri
Taman Sungai Geringging;Riau;Kampar;Kampar Kiri;Sungai Geringging
Taman Sungai Gimba Ulakan;Sumatera Barat;Padang Pariaman;Ulakan Tapakis;Sungai Gimba Ulakan
Taman Sungai Golang;Riau;Indragiri Hulu;Kelayang;Sungai Golang
Taman Sungai Gondang;Riau;Siak;Kandis;Sungai Gondang
Taman Sungai Guntung Hilir;Riau;Indragiri Hulu;Rengat;Sungai Guntung Hilir
Taman Sungai Guntung Tengah;Riau;Indragiri Hulu;Rengat;Sungai Guntung Tengah
Taman Sungai Jambu;Sumatera Barat;Tanah Datar;Pariangan;Sungai Jambu
Taman Sungai Jambur;Sumatera Barat;Solok;Ix Koto Sungai Lasi;Sungai Jambur
Taman Sungai Janiah;Sumatera Barat;Solok;Gunung Talang;Sungai Janiah
Taman Sungai Janiah Talu (Persiapan);Sumatera Barat;Pasaman Barat;Talamau;Sungai Janiah Talu (Persiapan)
Taman Sungai Jior;Sumatera Utara;Padang Lawas;Sosa;Sungai Jior
Taman Sungai Kambut;Sumatera Barat;Dharmasraya;Pulau Punjung;Sungai Kambut
Taman Sungai Kamuyang;Sumatera Barat;Lima Puluh Kota;Luak;Sungai Kamuyang
Taman Sungai Kasai;Sumatera Barat;Kota Pariaman;Pariaman Selatan;Sungai Kasai
Taman Sungai Kayu Ara;Riau;Siak;Sungai Apit;Sungai Kayu Ara
Taman Sungai Kumango;Riau;Rokan Hulu;Tambusai;Sungai Kumango
Taman Sungai Korang;Sumatera Utara;Padang Lawas;Huta Raja Tinggi;Sungai Korang
Taman Sungai Kuning Benio;Riau;Indragiri Hulu;Kelayang;Sungai Kuning Benio
Taman Sungai Kunyit;Sumatera Barat;Solok Selatan;Sangir Balai Janggo;Sungai Kunyit
Taman Sungai Kunyit Barat;Sumatera Barat;Solok Selatan;Sangir Balai Janggo;Sungai Kunyit Barat
Taman Sungai Kuti;Riau;Rokan Hulu;Kunto Darussalam;Sungai Kuti
Taman Sungai Lala;Riau;Indragiri Hulu;Sungai Lala;Sungai Lala
Taman Sungai Lambu Makmur;Riau;Kampar;Tapung;Sungai Lambu Makmur
Taman Sungai Landia;Sumatera Barat;Agam;Iv Koto;Sungai Landia
Taman Sungai Langkok;Sumatera Barat;Dharmasraya;Tiumang;Sungai Langkok
Taman Sungai Lansek;Sumatera Barat;Sijunjung;Kamang Baru;Sungai Lansek
Taman Sungai Laut;Riau;Indragiri Hilir;Tanah Merah;Sungai Laut
Taman Sungai Liku Pelangai;Sumatera Barat;Pesisir Selatan;Ranah Pesisir;Sungai Liku Pelangai
Taman Sungai Limau;Sumatera Barat;Dharmasraya;Asam Jujuhan;Sungai Limau
Taman Sungai Limau;Riau;Siak;Pusako;Sungai Limau
Taman Sungai Lipai;Riau;Kampar;Gunung Sahilan;Sungai Lipai
Taman Sungai Mas;Riau;Pelalawan;Kuala Kampar;Sungai Mas
Taman Sungai Nanam;Sumatera Barat;Solok;Lembah Gumanti;Sungai Nanam
Taman Sungai Naniang;Sumatera Barat;Lima Puluh Kota;Bukik Barisan;Sungai Naniang
Taman Sungai Nyalo Iv Koto Mudiek;Sumatera Barat;Pesisir Selatan;Batang Kapas;Sungai Nyalo Iv Koto Mudiek
Taman Sungai Nyalo Mudiak Aia;Sumatera Barat;Pesisir Selatan;Koto Xi Tarusan;Sungai Nyalo Mudiak Aia
Taman Sungai Orosan;Sumatera Utara;Padang Lawas Utara;Padang Bolak;Sungai Orosan
Taman Sungai Paku;Riau;Kampar;Kampar Kiri;Sungai Paku
Taman Sungai Pasak;Sumatera Barat;Kota Pariaman;Pariaman Timur;Sungai Pasak
Taman Sungai Pasir Putih;Riau;Indragiri Hulu;Kelayang;Sungai Pasir Putih
Taman Sungai Patai;Sumatera Barat;Tanah Datar;Sungayang;Sungai Patai
Taman Sungai Petai;Riau;Kampar;Kampar Kiri Hilir;Sungai Petai
Taman Sungai Pinang;Riau;Kampar;Tambang;Sungai Pinang
Taman Sungai Pinang;Sumatera Barat;Pesisir Selatan;Koto Xi Tarusan;Sungai Pinang
Taman Sungai Pinang Tapan;Sumatera Barat;Pesisir Selatan;Ranah Ampek Hulu Tapan;Sungai Pinang Tapan
Taman Sungai Pining;Sumatera Utara;Padang Lawas Utara;Dolok;Sungai Pining
Taman Sungai Pua;Sumatera Barat;Agam;Sungai Pua;Sungai Pua
Taman Sungai Puar;Sumatera Barat;Agam;Palembayan;Sungai Puar
Taman Sungai Putih;Riau;Kampar;Tapung;Sungai Putih
Taman Sungai Raja;Riau;Kampar;Kampar Kiri;Sungai Raja
Taman Sungai Rambai;Riau;Kampar;Kampar Kiri;Sungai Rambai
Taman Sungai Rambai;Riau;Kuantan Singingi;Logas Tanah Darat;Sungai Rambai
Taman Sungai Rambai;Sumatera Barat;Kota Pariaman;Pariaman Utara;Sungai Rambai
Taman Sungai Rawa;Riau;Siak;Sungai Apit;Sungai Rawa
Taman Sungai Raya;Riau;Indragiri Hulu;Rengat;Sungai Raya
Taman Sungai Rimbang;Sumatera Barat;Lima Puluh Kota;Suliki;Sungai Rimbang
Taman Sungai Rumbai;Sumatera Barat;Dharmasraya;Sungai Rumbai;Sungai Rumbai
Taman Sungai Rumbai Timur;Sumatera Barat;Dharmasraya;Sungai Rumbai;Sungai Rumbai Timur
Taman Sungai Sagu;Riau;Indragiri Hulu;Lirik;Sungai Sagu
Taman Sungai Santi;Riau;Kampar;Kampar Kiri Hulu;Sungai Santi
Taman Sungai Sariak;Sumatera Barat;Padang Pariaman;VII Koto Sungai Sariak;Sungai Sariak
Taman Sungai Sariak Lumpo;Sumatera Barat;Pesisir Selatan;Iv Jurai;Sungai Sariak Lumpo
Taman Sungai Sarik;Riau;Kampar;Kampar Kiri;Sungai Sarik
Taman Sungai Selodang;Riau;Siak;Sungai Mandau;Sungai Selodang
Taman Sungai Simpang Dua;Riau;Kampar;Kampar Kiri Hilir;Sungai Simpang Dua
Taman Sungai Sirah;Sumatera Barat;Kota Pariaman;Pariaman Timur;Sungai Sirah
Taman Sungai Sirah Air Haji;Sumatera Barat;Pesisir Selatan;Linggo Sari Baganti;Sungai Sirah Air Haji
Taman Sungai Sirah Kuranji Hulu;Sumatera Barat;Padang Pariaman;Sungai Geringging;Sungai Sirah Kuranji Hulu
Taman Sungai Sitolang;Riau;Rokan Hulu;Rambah Hilir;Sungai Sitolang
Taman Sungai Solok;Riau;Pelalawan;Kuala Kampar;Sungai Solok
Taman Sungai Talang;Sumatera Barat;Lima Puluh Kota;Guguak;Sungai Talang
Taman Sungai Talang (Persiapan);Sumatera Barat;Pasaman Barat;Luhak Nan Duo;Sungai Talang (Persiapan)
Taman Sungai Tanang;Sumatera Barat;Agam;Banuhampu;Sungai Tanang
Taman Sungai Tarab;Sumatera Barat;Tanah Datar;Sungai Tarab;Sungai Tarab
Taman Sungai Tengah;Riau;Siak;Sabak Auh;Sungai Tengah
Taman Sungai Tengah;Riau;Kepulauan Meranti;Merbau;Sungai Tengah
Taman Sungai Tohor;Riau;Kepulauan Meranti;Tebing Tinggi Timur;Sungai Tohor
Taman Sungai Tolang;Sumatera Utara;Padang Lawas Utara;Padang Bolak;Sungai Tolang
Taman Sungai Tunu;Sumatera Barat;Pesisir Selatan;Ranah Pesisir;Sungai Tunu
Taman Sungai Tunu Barat;Sumatera Barat;Pesisir Selatan;Ranah Pesisir;Sungai Tunu Barat
Taman Sungai Tunu Utara;Sumatera Barat;Pesisir Selatan;Ranah Pesisir;Sungai Tunu Utara
Taman Sungai Upih;Riau;Pelalawan;Kuala Kampar;Sungai Upih
Taman Sungaialah;Riau;Kuantan Singingi;Hulu Kuantan;Sungaialah
Taman Sungaiambat;Riau;Indragiri Hilir;Enok;Sungaiambat
Taman Sungaiara;Riau;Indragiri Hilir;Kempas;Sungaiara
Taman Sungaiasam;Riau;Indragiri Hilir;Reteh;Sungaiasam
Taman Sungaibaru;Riau;Indragiri Hilir;Gaung;Sungaibaru
Taman Sungaibatang;Riau;Bengkalis;Bengkalis;Sungaibatang
Taman Sungaibawang;Riau;Kuantan Singingi;Singingi;Sungaibawang
Taman Sungaibela;Riau;Indragiri Hilir;Kuala Indragiri;Sungaibela
Taman Sungaiberapit;Riau;Indragiri Hilir;Concong;Sungaiberapit
Taman Sungaibesar;Riau;Kuantan Singingi;Pucuk Rantau;Sungaibesar
Taman Sungaibesar;Riau;Kuantan Singingi;Pucuk Rantau;Sungaibesar
Taman Sungaibesar Hilir;Riau;Kuantan Singingi;Pucuk Rantau;Sungaibesar Hilir
Taman Sungaibesar Hilir;Riau;Kuantan Singingi;Pucuk Rantau;Sungaibesar Hilir
Taman Sungaibuluh;Riau;Indragiri Hilir;Kuala Indragiri;Sungaibuluh
Taman Sungaibuluh;Riau;Kuantan Singingi;Singingi Hilir;Sungaibuluh
Taman Sungaidanai;Riau;Indragiri Hilir;Pulau Burung;Sungaidanai
Taman Sungaidusun;Riau;Indragiri Hilir;Batang Tuaka;Sungaidusun
Taman Sungaiempat;Riau;Indragiri Hilir;Gaung Anak Serka;Sungaiempat
Taman Sungaigantang;Riau;Indragiri Hilir;Kempas;Sungaigantang
Taman Sungai Harapan;Riau;Kampar;Kampar Kiri;Sungai Harapan
Taman Sungaiiliran;Riau;Indragiri Hilir;Gaung Anak Serka;Sungaiiliran
Taman Sungaiintan;Riau;Indragiri Hilir;Tembilahan Hulu;Sungaiintan
Taman Sungaijunjangan;Riau;Indragiri Hilir;Batang Tuaka;Sungaijunjangan
Taman Sungaikelelawar;Riau;Kuantan Singingi;Hulu Kuantan;Sungaikelelawar
Taman Sungaikeranji;Riau;Kuantan Singingi;Singingi;Sungaikeranji
Taman Sungaikuning;Riau;Kuantan Singingi;Singingi;Sungaikuning
Taman Sungailangsat;Riau;Kuantan Singingi;Pangean;Sungailangsat
Taman Sungailaut;Riau;Indragiri Hilir;Tanah Merah;Sungailaut
Taman Sungailinau;Riau;Bengkalis;Siak Kecil;Sungailinau
Taman Sungai Liti;Riau;Kampar;Kampar Kiri;Sungai Liti
Taman Sungailokan;Riau;Indragiri Hilir;Enok;Sungailokan
Taman Sungailuar;Riau;Indragiri Hilir;Batang Tuaka;Sungailuar
Taman Sungaimahang;Riau;Indragiri Hilir;Reteh;Sungaimahang
Taman Sungaimanau;Riau;Kuantan Singingi;Kuantan Mudik;Sungaimanau
Taman Sungaimeranti;Riau;Bengkalis;Pinggir;Sungaimeranti
Taman Sungainibung;Riau;Bengkalis;Siak Kecil;Sungainibung
Taman Sungainyiur;Riau;Indragiri Hilir;Tanah Merah;Sungainyiur
Taman Sungaipaku;Riau;Kuantan Singingi;Singingi Hilir;Sungaipaku
Taman Sungaipinang;Riau;Rokan Hilir;Pujud;Sungaipinang
Taman Sungaipinang;Riau;Kuantan Singingi;Hulu Kuantan;Sungaipinang
Taman Sungaipiyai;Riau;Indragiri Hilir;Kuala Indragiri;Sungaipiyai
Taman Sungairabit;Riau;Indragiri Hilir;Kempas;Sungairabit
Taman Sungairawa;Riau;Indragiri Hilir;Batang Tuaka;Sungairawa
Taman Sungairaya;Riau;Indragiri Hilir;Batang Tuaka;Sungairaya
Taman Sungairukam;Riau;Indragiri Hilir;Enok;Sungairukam
Taman Sungaisalak;Riau;Indragiri Hilir;Tempuling;Sungaisalak
Taman Sungaiselari;Riau;Bengkalis;Bukit Batu;Sungaiselari
Taman Sungaisialang;Riau;Rokan Hilir;Batu Hampar;Sungaisialang
Taman Sungaisialang Hulu;Riau;Rokan Hilir;Batu Hampar;Sungaisialang Hulu
Taman Sungaisimbar;Riau;Indragiri Hilir;Kateman;Sungaisimbar
Taman Sungaisiput;Riau;Bengkalis;Siak Kecil;Sungaisiput
Taman Sungaisirih;Riau;Kuantan Singingi;Singingi;Sungaisirih
Taman Sungaisorik;Riau;Kuantan Singingi;Kuantan Hilir Seberang;Sungaisorik
